JS 13, 2+
JS 15, 33
GN 11, 30
GN 15, 1-15
1SM 1
LC 1, 5-25
NM 6, 1+
MT 1, 14
GN 32, 30
EX 3, 14+
AP 19, 12
LV 9, 12
EZ 1, 28
AP 1, 17
EX 33, 20
HB 11, 32 
JZ 3, 10+
JZ 18, 12
JS 19, 41
GN 38, 12
JS 15, 10
JS 19, 43
GN 34, 4
GN 24, 3-4
GN 28, 1-2
JZ 3, 10
1SM 17, 34S
2SM 23, 20
1RS 10
EZ 17
EZ 16, 5-21
LC 11, 8
2SM 23, 11
JZ 16, 31
JZ 14, 15-18
JZ 15, 20
JS 19, 40+
GN 16, 7
GN 29, 23-27
1SM 5, 2S
JS 15, 41
JS 19, 27
1COR 24, 10
GN 18, 11
JZ 13, 2-5
1SM 1, 20+
MT 1, 20+
NM 6, 2-3
LC 1, 41
JR 1, 5
MT 17, 10-13+
MT 3, 23-24
ECLO 48, 10-11
GN 15, 8
DN 8, 16
DN 9, 21
TB 12, 15
MC 1, 1+
MT 8, 10+ 
DN 8, 18
DN 10, 15-19
EZ 1, 28S
IS 44, 6
IS 48, 12
AP 1, 8+
DN 6, 23
LC 18, 1-8
LC 10, 22
IS 63, 1
